金蝶数据库表结构  
2011-03-0519:27:28|  分类： 默认分类 |  标签： |字号大中小 订阅

统ID 表ID 表名 表中文名 表说明 

0 0 t_VoucherGroup 凭证字表 凭证的收付转等分类字 

0 1 t_VoucherEntry 凭证分录表 凭证分录 

0 2 t_Voucher 凭证表 凭证 

0 3 t_User 系统用户信息表 系统用户信息表 

0 4 t_UnitGroup 单位类别表 计量单位类别 

0 5 t_SystemProfile 系统参数表 公司名称等系统控制参数 

0 6 t_Supplier 供应商表 供应商资料 

0 7 t_SubMesType 辅助资料类别表 系统公用的说明信息类别 

0 8 t_SubMessage 辅助资料表 系统公用的说明信息 

0 9 t_Stock 仓库表 仓库资料 

0 10 t_Settle 结算方式表 结算方式如现金、电汇等 

0 11 t_MeasureUnit 计量单位表 计量单位 

0 12 t_LogFunction 上机日志标准信息表 上机日志标准信息表 

0 13 t_Log 上机日志信息表 上机日志信息表 

0 14 t_ItemRight 基础资料权限表 基础资料权限表 

0 15 t_ItemPropDesc 核算项目附表信息描述表描述核算项目附表的字段信息 

0 16 t_ItemClass 基础资料类别表 基础资料类别 

0 17 t_ICItem 物料表 所有材料、产品、半成品等 

0 18 t_Exp 备注资料表 常用的摘要信息 

0 19 t_Emp 职员表 职员 

0 20 t_Department 部门表 部门 

0 21 t_Currency 币别表 币别 

0 22 t_Account 科目表 会计科目 

0 23 t_AccessControl 权限控制表 权限控制 

0 24 t_GroupAccess 用户组权限表 用户组权限 

0 25 t_GroupAccessType 用户组权限类表 用户组权限类 

0 26 t_ObjectAccess 对象权限表 对象权限 

0 27 t_ObjectAccessType 对象权限类型表 对象权限类型 

0 28 t_ObjectType 对象类型表 对象类型 

0 29 t_Accessory 附件管理表 附件管理 

0 30 t_AutoNumber 自动增加表 自动增加 

0 31 t_CodeRule 编码规则主表 编码规则主表 

0 32 t_CodeRuleDetail 编码规则明细表 编码规则明细表 

0 33 t_CodeRuleValue 编码规则当前值表表 编码规则当前值表 

0 34 t_CodeTypeFP 编码规则分配表表 编码规则分配表表 

0 35 t_DataTypeInfo 数据类型定义表 采用ADO定义数据类型 

0 36 t_dls_moduel 数据灌入模块表 包含数据灌入模块划分信息 

0 37 t_dls_TableList 数据灌入中间表包含数据灌入用到的中间表信息 

0 38 t_dls_TableStruct 数据灌入字段描述表数据灌入中间表的字段描述信息 

0 39 t_Identity 自动步长编码表 为表实现自动编码 

0 40 t_Mutex 功能互斥表 功能互斥 

0 41 t_BaseProperty 基础资料相关属性反映基础资料的改动以及权限信息 

0 42 t_ObjectRefs 对象参考表 对象参考 

0 43 t_SystemEnum 系统枚举表 系统枚举 

0 44 t_TableDescription 万能报表表描述表 万能报表表描述 

0 45 t_UserDefineRpt 万能报表用户定义表 万能报表用户定义 

0 46 t_FieldDescription 万能报表字段描述表 万能报表字段描述 

0 47 t_SonCompany 分支机构 分支机构 

0 48 t_VoucherTplType 凭证事务表 凭证事务表 

0 49 t_LedgerPageSetup Ldg页面设置表 Ldg页面设置表 

0 50 t_Organization 客户表 客户资料 

0 51 t_Kds_Report 二次开发平台报表 存放二次开发平台的报表 

0 52 t_Kds_ReportClass 报表类别 报表存放的类别 

